feature	s__Bifidobacterium_dentium	s__Bifidobacterium_bifidum	s__Bifidobacterium_breve	s__Bifidobacterium_longum	s__Lactobacillus_fermentum	s__Lactobacillus_salivarius	s__Lactobacillus_rhamnosus	s__Actinomyces_naeslundii	s__Actinomyces_oris	s__Actinomyces_sp_HPA0247	s__Streptococcus_anginosus_group	s__Streptococcus_mutans	s__Streptococcus_vestibularis	s__Escherichia_coli	s__Klebsiella_pneumoniae	s__Klebsiella_quasipneumoniae	s__Blautia_wexlerae	s__Blautia_hansenii	s__Anaerostipes_hadrus	s__Clostridium_sp_CAG_58	s__Eubacterium_eligens	s__Eubacterium_hallii	s__Eubacterium_ramulus	s__Eubacterium_rectale	s__Eubacterium_sp_CAG_38	s__Faecalibacterium_prausnitzii	s__Fusicatenibacter_saccharivorans	s__Roseburia_faecis	s__Roseburia_intestinalis	s__Roseburia_inulinivorans	s__Ruminococcus_bicirculans	s__Ruminococcus_lactaris
DP347	-18.8959446595935	-20.6685341634904	-18.2311288511831	-6.91390758897243	-19.6096404744368	-18.5530569460704	-18.6685341634904	-19.4986091620481	-16.5392511465454	-19.8611792414328	-17.8611792414328	-17.7299347081545	-16.8959446595935	-13.1528343252063	-17.2762167407116	-16.1088384213797	-8.42511221331963	-20.0835716627692	-9.68328517172612	-11.6699437337451	-6.73175821817032	-6.53172991344607	-18.8611792414328	-10.8641342085677	-11.7531526949411	-3.75294067306971	-20.7940650455742	-5.92613700051533	-12.1874074737538	-19.5530569460704	-10.1585942514601	-4.93649484878447
DP346	-18.8959446595935	-8.18833300642772	-18.2311288511831	-10.5861633226064	-19.6096404744368	-18.5530569460704	-18.6685341634904	-19.4986091620481	-19.2993003538247	-19.8611792414328	-17.8611792414328	-17.7299347081545	-16.8959446595935	-17.1982142287103	-17.2762167407116	-16.1088384213797	-7.24743361921145	-20.0835716627692	-9.04274923092188	-9.0048278244884	-6.13514359006526	-6.83650126771712	-10.1733453545974	-5.34199349163638	-10.8926495800319	-3.77971561766641	-7.22082669681165	-8.75751675569339	-7.95189329994485	-8.62938662844855	-2.43471479193613	-16.1874074737538
DP342	-5.71983233749672	-20.6685341634904	-3.8003365743834	-1.81819265732454	-5.59709973442601	-11.5366772028816	-5.40651274705728	-19.4986091620481	-19.2993003538247	-19.8611792414328	-17.8611792414328	-11.4289356342413	-10.863058974651	-6.88299655295282	-13.2173230516581	-16.1088384213797	-13.6461663504619	-20.0835716627692	-18.7940650455742	-16.8526172279294	-17.4461417421539	-16.6096404744368	-18.8611792414328	-13.3272006694304	-19.2534966642115	-11.8147048116333	-15.5255762096483	-12.7586410797203	-12.1746787142496	-19.5530569460704	-18.4206066500468	-8.03277826094296
DP341	-16.4080066132672	-13.4509802990903	-7.62852990419632	-15.1190703439906	-13.1436660099327	-12.88826781496	-18.6685341634904	-19.4986091620481	-19.2993003538247	-19.8611792414328	-17.8611792414328	-17.7299347081545	-11.7153077321591	-17.1982142287103	-11.2833907735994	-14.6798494767182	-2.2860726687737	-20.0835716627692	-18.7940650455742	-16.8526172279294	-17.4461417421539	-16.6096404744368	-18.8611792414328	-13.4221894204095	-19.2534966642115	-15.9497159160344	-3.84258576536754	-20.0835716627692	-20.4461417421539	-19.5530569460704	-18.4206066500468	-16.1874074737538
DP340	-18.8959446595935	-20.6685341634904	-18.2311288511831	-19.005569150768	-19.6096404744368	-18.5530569460704	-18.6685341634904	-19.4986091620481	-14.9003498387135	-14.9914018188414	-17.8611792414328	-17.7299347081545	-16.8959446595935	-17.1982142287103	-8.08192890288677	-11.4033098265658	-14.7696808869473	-5.33876701762668	-18.7940650455742	-16.8526172279294	-17.4461417421539	-16.6096404744368	-18.8611792414328	-13.6205014670686	-19.2534966642115	-12.0391775434108	-20.7940650455742	-20.0835716627692	-20.4461417421539	-19.5530569460704	-18.4206066500468	-16.1874074737538
DP339	-11.9130901733582	-20.6685341634904	-18.2311288511831	-5.52832348515104	-6.602599187251	-18.5530569460704	-18.6685341634904	-19.4986091620481	-19.2993003538247	-12.0367508060162	-17.8611792414328	-17.7299347081545	-12.4803574574918	-10.8285430929505	-17.2762167407116	-16.1088384213797	-8.30860162453366	-20.0835716627692	-18.7940650455742	-16.8526172279294	-17.4461417421539	-8.45634179158191	-18.8611792414328	-2.69344190103341	-7.15748161723128	-5.46031886031448	-20.7940650455742	-5.70096264558409	-4.91534353518522	-5.16837695488919	-7.08433500903061	-16.1874074737538
DP338	-18.8959446595935	-20.6685341634904	-18.2311288511831	-6.92222979578908	-19.6096404744368	-18.5530569460704	-18.6685341634904	-19.4986091620481	-19.2993003538247	-13.1673604391842	-17.8611792414328	-17.7299347081545	-16.8959446595935	-17.1982142287103	-17.2762167407116	-16.1088384213797	-4.22821649101671	-20.0835716627692	-6.48674778623478	-16.8526172279294	-17.4461417421539	-16.6096404744368	-18.8611792414328	-2.11305753979205	-19.2534966642115	-5.20338231247917	-6.40647603212157	-12.7869103264923	-5.38590420333589	-10.3760207976771	-4.43682546544227	-16.1874074737538
DP337	-18.8959446595935	-20.6685341634904	-18.2311288511831	-15.2762167407116	-19.6096404744368	-18.5530569460704	-18.6685341634904	-14.8741182971403	-12.682692226487	-19.8611792414328	-17.8611792414328	-17.7299347081545	-13.7279758551165	-17.1982142287103	-17.2762167407116	-16.1088384213797	-5.60033669611198	-10.0048278244884	-10.0559727859537	-10.5353919510898	-17.4461417421539	-6.10818142468235	-18.8611792414328	-17.3227593266487	-19.2534966642115	-14.1686882764072	-6.04536711238784	-20.0835716627692	-7.28768983761554	-19.5530569460704	-18.4206066500468	-10.3505563410833
DP336	-12.639707199739	-17.2534966642115	-13.9069829310459	-4.34226269046519	-19.6096404744368	-18.5530569460704	-10.8002260302009	-19.4986091620481	-15.4655941048201	-14.6573069080671	-14.8314318980387	-10.0451098736205	-12.2819531102608	-7.81955268018447	-8.39240975821614	-9.42367484633014	-8.91197784096629	-20.0835716627692	-6.13524499335622	-16.8526172279294	-9.20790762491419	-6.68503578137919	-18.8611792414328	-3.53874470886553	-19.2534966642115	-5.39478712106527	-5.10360072683233	-11.9785361920709	-9.94800487210085	-12.8095171216103	-6.04621537251024	-16.1874074737538
DP335	-18.8959446595935	-20.6685341634904	-18.2311288511831	-19.005569150768	-19.6096404744368	-18.5530569460704	-18.6685341634904	-19.4986091620481	-19.2993003538247	-19.8611792414328	-17.8611792414328	-17.7299347081545	-16.8959446595935	-17.1982142287103	-17.2762167407116	-16.1088384213797	-9.53368006119341	-20.0835716627692	-7.12979959424246	-7.24360245538586	-7.43786320018899	-7.62516504953269	-18.8611792414328	-9.84702589568225	-19.2534966642115	-2.71110427051026	-6.73507401887479	-20.0835716627692	-4.12590277810226	-4.65850513714401	-18.4206066500468	-7.51363696148352
