feature	s__Bifidobacterium_dentium	s__Bifidobacterium_bifidum	s__Bifidobacterium_breve	s__Bifidobacterium_longum	s__Lactobacillus_fermentum	s__Lactobacillus_salivarius	s__Lactobacillus_rhamnosus	s__Actinomyces_naeslundii	s__Actinomyces_oris	s__Actinomyces_sp_HPA0247	s__Streptococcus_anginosus_group	s__Streptococcus_mutans	s__Streptococcus_vestibularis	s__Escherichia_coli	s__Klebsiella_pneumoniae	s__Klebsiella_quasipneumoniae	s__Blautia_wexlerae	s__Blautia_hansenii	s__Anaerostipes_hadrus	s__Clostridium_sp_CAG_58	s__Eubacterium_eligens	s__Eubacterium_hallii	s__Eubacterium_ramulus	s__Eubacterium_rectale	s__Eubacterium_sp_CAG_38	s__Faecalibacterium_prausnitzii	s__Fusicatenibacter_saccharivorans	s__Roseburia_faecis	s__Roseburia_intestinalis	s__Roseburia_inulinivorans	s__Ruminococcus_bicirculans	s__Ruminococcus_lactaris
DP229	0	0	0	0.0147761	0	0	0	0	0	0	0	0	0	0.0083951	0	0	1.5e-05	0	0.0189965	0.0025675	0.0042309	0.0083786	0.0017738	0.0174239	0	0.100428	0.0638229	0.1303629	0	0.0072947	0.0637184	0.004869
DP226	0.0007341	0	0	0.0015903	0.0026885	0.0017	0	0	9.38e-05	0.0001048	0.0002834	0	0	0.0040126	0	0	0.0020832	0	0.0007538	0	0	0.0086315	0.001506	0.1278131	0.00063	0.1694551	0.0055688	0.0477314	0.0019074	0.0012134	0.0108641	0
DP225	0.0013686	0	0	0	0.0017285	0	0	3.52e-05	0.0010156	0	0.000194	0.0006499	0.0003187	0.000472	0	0	0.0021679	0	0.0022587	0.0008955	0.0195363	0.0104244	0	9.2e-06	0	0.1636376	0.0054739	0.0145087	0.0004921	0.0003839	0	0
DP224	0.0001295	0	0	0.0984603	0.0011125	0.0007916	0	0	2.5e-05	0	0	0	0.0001372	0.0004091	0.0016254	0.0001045	0	0	0	0.0007242	0	0	0	0	0	0	0.0067049	0	0	1e-05	0	0.0040114
DP223	0	0	0	0.0030915	0	0	0.002102	0	0	0	0	0	0	4.61e-05	0	0	0.0178999	0	0.0166482	0.0039697	0.0229714	0.0141237	0	0.001207	0	0.0331648	0.0073702	0.0002967	0	0.0005258	0	0
DP222	0	0	0	0.0009876	0	0	0	0.0001611	0.000988	0	0	0.0031116	0	0.0048328	0	0	6.25e-05	0	0.004793	0	0.0274241	0.0005304	0	0.0003179	0	0.0066611	0.0033336	0	0	0	0	0
DP221	0.0052596	0	0	0.0166522	0	0	0	1.35e-05	3.63e-05	7.72e-05	0	0	0	0.0003047	0	0	2.89e-05	0	0.0008065	0	0.0026506	0.0001022	0	0.0007206	0.0004577	0.013422	0.0006483	0.0001825	0.0009329	0.0004965	0	0
DP220	0	0	0	0	0	0.0543163	0.0014645	0	0	0.0003248	0	0	0	0	0.0701062	0.0044394	0.0023574	0	0.0013225	0.0049625	0.0006356	0.0042723	0.0007364	0.011984	0	0.1088323	0.0031816	0.1140549	0.0007738	0	0.1501125	0
DP219	0.0049779	0	0	0	0	0	0	0	0	0	0	0	0	0.3364791	0.0008879	0	0.000258	0	0.005339	0.0003816	0.0057626	0.0009853	0	0.0082519	5.76e-05	0.0479614	0.0067008	0.0046703	6.82e-05	0.0017568	0	0.0001124
DP218	0	0	0	0	0	0	0	0.0001546	0.0034766	0	0	0.0004511	0	0	0	0	0.0001382	0.0006523	0.0006666	0	0.0033213	9.89e-05	0	0.0003993	0	0.0054566	0	0.0007415	0.0043097	0	0	0
